,0,1,2,3,4,5,6,7,8,val
121,O,X, ,X,X, , ,O,O,0.8182344443804612
122, ,X,O,X,X, , ,O,O,0.78092041015625
123, ,X, ,X,X,O, ,O,O,-0.225625
124, ,X, ,X,X, ,O,O,O,-0.999247456541835
125, , , ,X,X, , ,O,O,0.8617285656929016
126,X,X,O, , , , , , ,-0.6932220652540562
127,X, ,O,X, , , , , ,0.48963840983688567
128,X, ,O, ,X, , , , ,-0.17142374052510118
129,X, ,O, , ,X, , , ,-0.20383425346584422
130,X, ,O, , , ,X, , ,0.8183710724041191
131,X, ,O, , , , ,X, ,-0.0069562071315192545
132,X, ,O, , , , , ,X,0.37131132613843393
133,X,O,O,X, , , , , ,0.8545431036932236
134,X, ,O,X,O, , , , ,0.8647072893914887
135,X, ,O,X, ,O, , , ,0.9041190321744184
136,X, ,O,X, , ,O, , ,0.5153719492298627
137,X, ,O,X, , , ,O, ,0.878669548034668
138,X, ,O,X, , , , ,O,0.8632332760044186
139,X,X,O,X, , , , ,O,-0.7791108932495117
140,X, ,O,X,X, , , ,O,-0.9030328418015735
141,X, ,O,X, ,X, , ,O,0.8759668481643311
142,X, ,O,X, , ,X, ,O,0.9999999924319827
143,X, ,O,X, , , ,X,O,-0.8054403010085224
144,X,O,O,X,X, , , ,O,-0.014465553283691368
145,X, ,O,X,X,O, , ,O,-0.9999865912197845
146,X, ,O,X,X, ,O, ,O,0.8795234528722994
147,X, ,O,X,X, , ,O,O,0.634384765625
148,X,O,O,X,X,X, , ,O,0.9982161932843496
149,X,O,O,X,X, ,X, ,O,0.99982141790983
150,X,O,O,X,X, , ,X,O,-0.9411628893968372
151,X,O,O,X,X,O, ,X,O,-0.9999821216263793
152,X,O,O,X,X, ,O,X,O,0.9499872616587952
153,X,O,O,X,X,X,O,X,O,0.9999999999999998
154,X,X, ,O, , , , , ,0.16555942302562354
155,X, ,X,O, , , , , ,0.4377840672632457
156,X, , ,O,X, , , , ,0.8093783359078424
157,X, , ,O, ,X, , , ,-0.1934086078990006
158,X, , ,O, , ,X, , ,0.16729028750234837
159,X, , ,O, , , ,X, ,0.3001027462920397
160,X, , ,O, , , , ,X,0.0771600197460936
161,X,O, ,O, ,X, , , ,0.8260044035972095
162,X, ,O,O, ,X, , , ,0.19279956184752525
163,X, , ,O,O,X, , , ,0.8536106058237334
164,X, , ,O, ,X,O, , ,0.6997701364421843
165,X, , ,O, ,X, ,O, ,0.7909070557820795
166,X, , ,O, ,X, , ,O,0.1934711437657162
167,X,X,O,O, ,X, , , ,-0.160757763850163
168,X, ,O,O,X,X, , , ,2.8704729710028163e-10
169,X, ,O,O, ,X,X, , ,0.0
170,X, ,O,O, ,X, ,X, ,0.0
171,X, ,O,O, ,X, , ,X,-0.1479122180996143
